iter	Passed	Remaining
0	135	135310
1	136	68341
2	138	45995
3	139	34765
4	140	28055
5	142	23597
6	143	20401
7	145	18049
8	146	16182
9	148	14680
10	149	13470
11	151	12454
12	152	11590
13	153	10845
14	155	10190
15	156	9640
16	158	9139
17	159	8702
18	160	8286
19	161	7928
20	163	7610
21	164	7323
22	166	7077
23	168	6840
24	169	6620
25	171	6417
26	172	6217
27	173	6009
28	174	5846
29	176	5700
30	176	5529
31	177	5366
32	178	5222
33	178	5082
34	179	4946
35	179	4819
36	180	4696
37	181	4599
38	183	4513
39	183	4413
40	184	4322
41	186	4245
42	186	4154
43	187	4070
44	188	3990
45	188	3910
46	189	3844
47	190	3785
48	191	3717
49	192	3661
50	193	3604
51	194	3546
52	195	3484
53	195	3432
54	197	3387
55	198	3338
56	198	3291
57	199	3243
58	200	3200
59	201	3158
60	202	3113
61	203	3071
62	203	3032
63	204	2995
64	205	2954
65	205	2914
66	206	2874
67	207	2837
68	207	2800
69	208	2765
70	208	2730
71	209	2698
72	210	2666
73	210	2636
74	211	2605
75	211	2576
76	212	2548
77	213	2519
78	213	2491
79	214	2464
80	214	2438
81	215	2412
82	215	2384
83	216	2359
84	216	2335
85	217	2312
86	218	2289
87	218	2267
88	219	2245
89	219	2224
90	220	2202
91	221	2181
92	221	2162
93	222	2142
94	222	2123
95	223	2103
96	223	2084
97	224	2066
98	225	2048
99	225	2030
100	226	2013
101	226	1996
102	227	1980
103	228	1964
104	228	1947
105	229	1931
106	229	1915
107	230	1900
108	230	1885
109	231	1870
110	231	1856
111	232	1841
112	232	1827
113	233	1813
114	233	1800
115	234	1787
116	235	1774
117	235	1762
118	236	1749
119	236	1736
120	237	1724
121	237	1711
122	238	1700
123	238	1687
124	239	1676
125	240	1665
126	240	1653
127	241	1641
128	241	1631
129	242	1620
130	242	1609
131	243	1598
132	243	1588
133	244	1577
134	244	1567
135	245	1557
136	245	1548
137	246	1538
138	246	1529
139	247	1519
140	248	1511
141	248	1501
142	249	1493
143	249	1485
144	250	1477
145	251	1469
146	251	1460
147	252	1452
148	252	1444
149	253	1436
150	254	1428
151	254	1420
152	255	1412
153	255	1405
154	256	1397
155	257	1390
156	257	1383
157	258	1376
158	258	1368
159	259	1361
160	259	1353
161	260	1346
162	261	1340
163	261	1333
164	262	1326
165	262	1319
166	263	1313
167	263	1306
168	264	1300
169	265	1294
170	265	1288
171	266	1281
172	266	1275
173	267	1269
174	267	1263
175	268	1257
176	269	1251
177	269	1245
178	270	1239
179	270	1233
180	271	1227
181	271	1222
182	272	1216
183	273	1211
184	273	1205
185	274	1199
186	274	1194
187	275	1189
188	275	1183
